date,district_code,district,region,latitude,longitude,imd_actual_mm,imd_normal_mm,imd_departure_percent,source_report
2025-02-06,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-07,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.40,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-08,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 08.02.2025.xls
2025-02-08,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 08.02.2025.xls
2025-02-08,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 08.02.2025.xls
2025-02-09,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.10,-100.00,2025/FEB 2025/daily Cum dated 09.02.2025.xls
2025-02-09,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/FEB 2025/daily Cum dated 09.02.2025.xls
2025-02-09,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/FEB 2025/daily Cum dated 09.02.2025.xls
2025-02-10,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.20,-100.00,2025/FEB 2025/daily cum dated 10.02.2025.xls
2025-02-10,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 10.02.2025.xls
2025-02-10,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 10.02.2025.xls
2025-02-11,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.00,-100.00,2025/FEB 2025/daily Cum dated 11.02.2025.xls
2025-02-11,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/FEB 2025/daily Cum dated 11.02.2025.xls
2025-02-11,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/FEB 2025/daily Cum dated 11.02.2025.xls
2025-02-12,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 12.02.2025.xls
2025-02-12,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 12.02.2025.xls
2025-02-12,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 12.02.2025.xls
2025-02-13,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 13.02.2025.xls
2025-02-13,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 13.02.2025.xls
2025-02-13,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 13.02.2025.xls
2025-02-14,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.20,-100.00,2025/FEB 2025/daily cum dated 14.02.2025.xls
2025-02-14,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 14.02.2025.xls
2025-02-14,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 14.02.2025.xls
2025-02-15,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.50,-100.00,2025/FEB 2025/daily cum dated 15.02.2025.xls
2025-02-15,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.20,-100.00,2025/FEB 2025/daily cum dated 15.02.2025.xls
2025-02-15,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.20,-100.00,2025/FEB 2025/daily cum dated 15.02.2025.xls
2025-02-16,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.10,-100.00,2025/FEB 2025/daily Cum dated 16.02.2025.xls
2025-02-16,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.10,-100.00,2025/FEB 2025/daily Cum dated 16.02.2025.xls
2025-02-16,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.10,-100.00,2025/FEB 2025/daily Cum dated 16.02.2025.xls
2025-02-17,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.40,-100.00,2025/FEB 2025/daily cum dated 17.02.2025.xls
2025-02-17,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 17.02.2025.xls
2025-02-17,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.20,-100.00,2025/FEB 2025/daily cum dated 17.02.2025.xls
2025-02-18,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.10,-100.00,2025/FEB 2025/daily Cum dated 18.02.2025.xls
2025-02-18,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/FEB 2025/daily Cum dated 18.02.2025.xls
2025-02-18,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/FEB 2025/daily Cum dated 18.02.2025.xls
2025-02-19,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 19.02.2025.xls
2025-02-19,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 19.02.2025.xls
2025-02-19,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 19.02.2025.xls
2025-02-20,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.20,-100.00,2025/FEB 2025/daily cum dated 20.02.2025.xls
2025-02-20,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 20.02.2025.xls
2025-02-20,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 20.02.2025.xls
2025-02-21,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 21.02.2025.xls
2025-02-21,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 21.02.2025.xls
2025-02-21,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 21.02.2025.xls
2025-02-22,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 22.02.2025.xls
2025-02-22,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 22.02.2025.xls
2025-02-22,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 22.02.2025.xls
2025-02-23,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.30,0.10,178.00,2025/FEB 2025/daily cum dated 23.02.2025.xls
2025-02-23,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 23.02.2025.xls
2025-02-23,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 23.02.2025.xls
2025-02-24,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.00,-100.00,2025/FEB 2025/daily Cum dated 24.02.2025.xls
2025-02-24,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/FEB 2025/daily Cum dated 24.02.2025.xls
2025-02-24,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,1.60,0.00,200.00,2025/FEB 2025/daily Cum dated 24.02.2025.xls
2025-02-25,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.00,-100.00,2025/FEB 2025/daily Cum dated 25.02.2025.xls
2025-02-25,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/FEB 2025/daily Cum dated 25.02.2025.xls
2025-02-25,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/FEB 2025/daily Cum dated 25.02.2025.xls
2025-02-26,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.00,-100.00,2025/FEB 2025/daily Cum dated 26.02.2025.xls
2025-02-26,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/FEB 2025/daily Cum dated 26.02.2025.xls
2025-02-26,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/FEB 2025/daily Cum dated 26.02.2025.xls
2025-02-27,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.00,-100.00,2025/FEB 2025/daily Cum dated 27.02.2025.xls
2025-02-27,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/FEB 2025/daily Cum dated 27.02.2025.xls
2025-02-27,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/FEB 2025/daily Cum dated 27.02.2025.xls
2025-02-28,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 28.02.2025.xls
2025-02-28,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 28.02.2025.xls
2025-02-28,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 28.02.2025.xls
2025-03-01,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.00,-100.00,2025/March 2025/daily cum dated 01.03.2025.xls
2025-03-01,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/March 2025/daily cum dated 01.03.2025.xls
2025-03-01,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.20,-100.00,2025/March 2025/daily cum dated 01.03.2025.xls
2025-03-02,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.20,-100.00,2025/March 2025/daily cum dated 02.03.2025.xls
2025-03-02,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.30,-100.00,2025/March 2025/daily cum dated 02.03.2025.xls
2025-03-02,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.10,-100.00,2025/March 2025/daily cum dated 02.03.2025.xls
2025-03-03,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.00,-100.00,2025/March 2025/daily cum dated 03.03.2025.xls
2025-03-03,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/March 2025/daily cum dated 03.03.2025.xls
2025-03-03,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/March 2025/daily cum dated 03.03.2025.xls
2025-03-04,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.10,-100.00,2025/March 2025/daily cum dated 04.03.2025.xls
2025-03-04,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/March 2025/daily cum dated 04.03.2025.xls
2025-03-04,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/March 2025/daily cum dated 04.03.2025.xls
2025-03-05,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.60,-100.00,2025/March 2025/daily cum dated 05.03.2025.xls
2025-03-05,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.10,-100.00,2025/March 2025/daily cum dated 05.03.2025.xls
2025-03-05,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/March 2025/daily cum dated 05.03.2025.xls
2025-03-06,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.30,-100.00,2025/March 2025/daily cum dated 06.03.2025.xls
2025-03-06,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/March 2025/daily cum dated 06.03.2025.xls
2025-03-06,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/March 2025/daily cum dated 06.03.2025.xls
2025-03-07,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.30,-100.00,2025/March 2025/daily cum dated 07.03.2025.xls
2025-03-07,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.10,-100.00,2025/March 2025/daily cum dated 07.03.2025.xls
2025-03-07,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/March 2025/daily cum dated 07.03.2025.xls
2025-03-08,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.80,-100.00,2025/March 2025/daily cum dated 08.03.2025.xls
2025-03-08,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.30,-100.00,2025/March 2025/daily cum dated 08.03.2025.xls
2025-03-08,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.20,-100.00,2025/March 2025/daily cum dated 08.03.2025.xls
2025-03-09,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.70,-100.00,2025/March 2025/daily cum dated 09.03.2025.xls
2025-03-09,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.20,-100.00,2025/March 2025/daily cum dated 09.03.2025.xls
2025-03-09,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.10,-100.00,2025/March 2025/daily cum dated 09.03.2025.xls
2025-03-10,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.40,-100.00,2025/March 2025/Specified Period 10.03.2025.xls
2025-03-10,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.10,-100.00,2025/March 2025/Specified Period 10.03.2025.xls
2025-03-10,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.10,-100.00,2025/March 2025/Specified Period 10.03.2025.xls
2025-03-11,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.30,-100.00,2025/March 2025/daily cum dated 11.03.2025.xls
2025-03-11,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/March 2025/daily cum dated 11.03.2025.xls
2025-03-11,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.20,-100.00,2025/March 2025/daily cum dated 11.03.2025.xls
2025-03-12,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.70,-100.00,2025/March 2025/Specified Period 12.03.2025.xls
2025-03-12,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.20,-100.00,2025/March 2025/Specified Period 12.03.2025.xls
2025-03-12,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/March 2025/Specified Period 12.03.2025.xls
2025-03-13,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,33.90,0.50,6671.00,2025/March 2025/Specified Period 13.03.2025.xls
2025-03-13,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.20,-100.00,2025/March 2025/Specified Period 13.03.2025.xls
2025-03-13,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.10,-100.00,2025/March 2025/Specified Period 13.03.2025.xls
2025-03-14,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.40,-100.00,2025/March 2025/Specified Period 14.03.2025.xls
2025-03-14,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.50,-100.00,2025/March 2025/Specified Period 14.03.2025.xls
2025-03-14,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.20,-100.00,2025/March 2025/Specified Period 14.03.2025.xls
2025-03-15,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.80,-100.00,2025/March 2025/Specified Period 15.03.2025.xls
2025-03-15,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.90,-100.00,2025/March 2025/Specified Period 15.03.2025.xls
2025-03-15,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.10,-100.00,2025/March 2025/Specified Period 15.03.2025.xls
2025-03-16,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.50,-100.00,2025/March 2025/Specified Period 16.03.2025.xls
2025-03-16,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.40,-100.00,2025/March 2025/Specified Period 16.03.2025.xls
2025-03-16,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.20,-100.00,2025/March 2025/Specified Period 16.03.2025.xls
2025-03-17,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.60,-100.00,2025/March 2025/Specified Period 17.03.2025.xls
2025-03-17,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.20,-100.00,2025/March 2025/Specified Period 17.03.2025.xls
2025-03-17,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.20,-100.00,2025/March 2025/Specified Period 17.03.2025.xls
2025-03-18,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.30,-100.00,2025/March 2025/Specified Period 18.03.2025.xls
2025-03-18,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.10,-100.00,2025/March 2025/Specified Period 18.03.2025.xls
2025-03-18,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.20,-100.00,2025/March 2025/Specified Period 18.03.2025.xls
2025-03-19,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.40,-100.00,2025/March 2025/Specified Period 19.03.2025.xls
2025-03-19,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/March 2025/Specified Period 19.03.2025.xls
2025-03-19,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.10,-100.00,2025/March 2025/Specified Period 19.03.2025.xls
2025-03-20,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.30,-100.00,2025/March 2025/Specified Period 20.03.2025.xls
2025-03-20,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/March 2025/Specified Period 20.03.2025.xls
2025-03-20,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.20,-100.00,2025/March 2025/Specified Period 20.03.2025.xls
2025-03-21,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,1.00,-100.00,2025/March 2025/Specified Period 21.03.2025.xls
2025-03-21,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.70,-100.00,2025/March 2025/Specified Period 21.03.2025.xls
2025-03-21,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.10,-100.00,2025/March 2025/Specified Period 21.03.2025.xls
2025-03-22,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.90,-100.00,2025/March 2025/Specified Period dated 22.03.2025.xls
2025-03-22,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,1.00,-100.00,2025/March 2025/Specified Period dated 22.03.2025.xls
2025-03-22,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.50,-100.00,2025/March 2025/Specified Period dated 22.03.2025.xls
2025-03-23,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,2.00,-100.00,2025/March 2025/Specified Period dated 23.03.2025.xls
2025-03-23,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,1.90,-100.00,2025/March 2025/Specified Period dated 23.03.2025.xls
2025-03-23,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.80,-100.00,2025/March 2025/Specified Period dated 23.03.2025.xls
2025-03-24,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,1.20,-100.00,2025/March 2025/Specified Period 24.03.2025.xls
2025-03-24,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.70,-100.00,2025/March 2025/Specified Period 24.03.2025.xls
2025-03-24,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.30,-100.00,2025/March 2025/Specified Period 24.03.2025.xls
2025-03-25,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.70,-100.00,2025/March 2025/Specified Period dated 25.03.2025.xls
2025-03-25,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,1.00,-100.00,2025/March 2025/Specified Period dated 25.03.2025.xls
2025-03-25,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.60,-100.00,2025/March 2025/Specified Period dated 25.03.2025.xls
2025-03-26,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.40,-100.00,2025/March 2025/Specified Period dated 26.03.2025.xls
2025-03-26,493,Udupi,Coastal Karnataka,13.34,74.74,3.60,0.10,3480.00,2025/March 2025/Specified Period dated 26.03.2025.xls
2025-03-26,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,4.80,0.20,2303.00,2025/March 2025/Specified Period dated 26.03.2025.xls
2025-03-27,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.40,-100.00,2025/March 2025/Specified Period dated 27.03.2025.xls
2025-03-27,493,Udupi,Coastal Karnataka,13.34,74.74,1.50,0.10,1420.00,2025/March 2025/Specified Period dated 27.03.2025.xls
2025-03-27,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.20,-100.00,2025/March 2025/Specified Period dated 27.03.2025.xls
2025-03-28,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.40,-100.00,2025/March 2025/daily cum dated 28.03.2025.xls
2025-03-28,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/March 2025/daily cum dated 28.03.2025.xls
2025-03-28,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/March 2025/daily cum dated 28.03.2025.xls
2025-03-29,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.80,0.40,97.00,2025/March 2025/daily cum dated 29.03.2025.xls
2025-03-29,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.30,-100.00,2025/March 2025/daily cum dated 29.03.2025.xls
2025-03-29,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.10,-100.00,2025/March 2025/daily cum dated 29.03.2025.xls
2025-03-30,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.30,-100.00,2025/March 2025/daily cum dated 30.03.2025.xls
2025-03-30,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.10,-100.00,2025/March 2025/daily cum dated 30.03.2025.xls
2025-03-30,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.30,-100.00,2025/March 2025/daily cum dated 30.03.2025.xls
2025-03-31,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.50,-100.00,2025/March 2025/Specified Period 31.03.2025.xls
2025-03-31,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.90,-100.00,2025/March 2025/Specified Period 31.03.2025.xls
2025-03-31,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,9.70,0.30,3144.00,2025/March 2025/Specified Period 31.03.2025.xls
2025-04-01,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,1.10,-100.00,2025/APRIL 2025/daily cum dated 01.04.2025.xls
2025-04-01,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.70,-100.00,2025/APRIL 2025/daily cum dated 01.04.2025.xls
2025-04-01,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.20,0.10,57.00,2025/APRIL 2025/daily cum dated 01.04.2025.xls
2025-04-02,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.70,-100.00,2025/APRIL 2025/daily cum dated 02.04.2025.xls
2025-04-02,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.20,-100.00,2025/APRIL 2025/daily cum dated 02.04.2025.xls
2025-04-02,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.20,-100.00,2025/APRIL 2025/daily cum dated 02.04.2025.xls
2025-04-03,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.90,0.90,1.00,2025/APRIL 2025/daily cum dated 03.04.2025.xls
2025-04-03,493,Udupi,Coastal Karnataka,13.34,74.74,2.60,0.50,412.00,2025/APRIL 2025/daily cum dated 03.04.2025.xls
2025-04-03,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.40,0.20,79.00,2025/APRIL 2025/daily cum dated 03.04.2025.xls
2025-04-04,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,1.70,2.00,-16.00,2025/APRIL 2025/daily cum dated 04.04.2025.xls
