date,district_code,district,division,imd_actual_mm,imd_normal_mm,imd_departure_percent,source_report
2025-02-01,512,Hassan,South Interior Karnataka,0.00,0.20,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,513,Kodagu,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,514,Kolar,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,515,Mandya,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,516,Mysuru,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,517,Shivamogga,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,518,Tumakuru,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,639,Chikkaballapura,South Interior Karnataka,0.00,0.20,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,640,Ramanagara,South Interior Karnataka,0.00,0.20,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,641,Yadgir,North Interior Karnataka,0.00,0.20,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,719,Vijayanagara,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-02,492,Dakshina Kannada,Coastal Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,493,Udupi,Coastal Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,494,Uttara Kannada,Coastal Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,495,Bagalkote,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,496,Belagavi,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,497,Bidar,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,498,Vijayapura,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,499,Dharwad,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,500,Gadag,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,501,Kalaburagi,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,502,Haveri,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,503,Koppal,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,504,Raichur,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,505,Bengaluru Rural,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,506,Bengaluru Urban,South Interior Karnataka,0.00,0.20,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,507,Ballari,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,508,Chamarajanagar,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,509,Chikkamagaluru,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,510,Chitradurga,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,511,Davangere,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,512,Hassan,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,513,Kodagu,South Interior Karnataka,0.00,0.30,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,514,Kolar,South Interior Karnataka,0.00,0.30,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,515,Mandya,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,516,Mysuru,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,517,Shivamogga,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,518,Tumakuru,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,639,Chikkaballapura,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,640,Ramanagara,South Interior Karnataka,0.00,0.40,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,641,Yadgir,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,719,Vijayanagara,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-03,492,Dakshina Kannada,Coastal Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,493,Udupi,Coastal Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,494,Uttara Kannada,Coastal Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,495,Bagalkote,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,496,Belagavi,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,497,Bidar,North Interior Karnataka,0.00,0.20,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,498,Vijayapura,North Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,499,Dharwad,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,500,Gadag,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,501,Kalaburagi,North Interior Karnataka,0.00,0.20,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,502,Haveri,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,503,Koppal,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,504,Raichur,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,505,Bengaluru Rural,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,506,Bengaluru Urban,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,507,Ballari,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,508,Chamarajanagar,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,509,Chikkamagaluru,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,510,Chitradurga,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,511,Davangere,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,512,Hassan,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,513,Kodagu,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,514,Kolar,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,515,Mandya,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,516,Mysuru,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,517,Shivamogga,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,518,Tumakuru,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,639,Chikkaballapura,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,640,Ramanagara,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,641,Yadgir,North Interior Karnataka,0.00,0.40,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,719,Vijayanagara,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-04,492,Dakshina Kannada,Coastal Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,493,Udupi,Coastal Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,494,Uttara Kannada,Coastal Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,495,Bagalkote,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,496,Belagavi,North Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,497,Bidar,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,498,Vijayapura,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,499,Dharwad,North Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,500,Gadag,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,501,Kalaburagi,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,502,Haveri,North Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,503,Koppal,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,504,Raichur,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,505,Bengaluru Rural,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,506,Bengaluru Urban,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,507,Ballari,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,508,Chamarajanagar,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,509,Chikkamagaluru,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,510,Chitradurga,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,511,Davangere,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,512,Hassan,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,513,Kodagu,South Interior Karnataka,0.00,0.20,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,514,Kolar,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,515,Mandya,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,516,Mysuru,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,517,Shivamogga,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,518,Tumakuru,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,639,Chikkaballapura,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,640,Ramanagara,South Interior Karnataka,0.00,0.20,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,641,Yadgir,North Interior Karnataka,0.00,0.20,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,719,Vijayanagara,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-05,492,Dakshina Kannada,Coastal Karnataka,0.00,0.10,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,493,Udupi,Coastal Karnataka,0.00,0.00,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,494,Uttara Kannada,Coastal Karnataka,0.00,0.00,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,495,Bagalkote,North Interior Karnataka,0.00,0.20,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,496,Belagavi,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,497,Bidar,North Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,498,Vijayapura,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,499,Dharwad,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,500,Gadag,North Interior Karnataka,0.00,0.20,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,501,Kalaburagi,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,502,Haveri,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,503,Koppal,North Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,504,Raichur,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,505,Bengaluru Rural,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,506,Bengaluru Urban,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,507,Ballari,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,508,Chamarajanagar,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,509,Chikkamagaluru,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,510,Chitradurga,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,511,Davangere,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,512,Hassan,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,513,Kodagu,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,514,Kolar,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,515,Mandya,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,516,Mysuru,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,517,Shivamogga,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,518,Tumakuru,South Interior Karnataka,0.00,0.20,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,639,Chikkaballapura,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,640,Ramanagara,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,641,Yadgir,North Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,719,Vijayanagara,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-06,492,Dakshina Kannada,Coastal Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,493,Udupi,Coastal Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,494,Uttara Kannada,Coastal Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,495,Bagalkote,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,496,Belagavi,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,497,Bidar,North Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,498,Vijayapura,North Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,499,Dharwad,North Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,500,Gadag,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,501,Kalaburagi,North Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,502,Haveri,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,503,Koppal,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,504,Raichur,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,505,Bengaluru Rural,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,506,Bengaluru Urban,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,507,Ballari,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,508,Chamarajanagar,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,509,Chikkamagaluru,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,510,Chitradurga,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,511,Davangere,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,512,Hassan,South Interior Karnataka,0.00,0.20,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,513,Kodagu,South Interior Karnataka,0.00,0.40,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,514,Kolar,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,515,Mandya,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,516,Mysuru,South Interior Karnataka,0.00,0.20,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,517,Shivamogga,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,518,Tumakuru,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,639,Chikkaballapura,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,640,Ramanagara,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,641,Yadgir,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,719,Vijayanagara,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-07,492,Dakshina Kannada,Coastal Karnataka,0.00,0.40,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,493,Udupi,Coastal Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,494,Uttara Kannada,Coastal Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,495,Bagalkote,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,496,Belagavi,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,497,Bidar,North Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,498,Vijayapura,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,499,Dharwad,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,500,Gadag,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,501,Kalaburagi,North Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,502,Haveri,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,503,Koppal,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,504,Raichur,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,505,Bengaluru Rural,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,506,Bengaluru Urban,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,507,Ballari,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,508,Chamarajanagar,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,509,Chikkamagaluru,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,510,Chitradurga,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,511,Davangere,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,512,Hassan,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,513,Kodagu,South Interior Karnataka,0.00,0.30,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,514,Kolar,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,515,Mandya,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
2025-02-07,516,Mysuru,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 07.02.2025.xls
