date,district_code,district,region,latitude,longitude,imd_actual_mm,imd_normal_mm,imd_departure_percent,source_report,gfs_rain_mm,ifs_hres_rain_mm,aifs_rain_mm,split
2025-10-11,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,1.900,5.700,-66.000,2025/oct 2025/daily dated cum 11.10.2025.xls,1.600,1.500,3.000,train
2025-10-12,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,12.300,9.700,27.000,2025/oct 2025/daily dated cum 12.10.2025.xls,0.200,2.000,3.600,train
2025-10-12,493,Udupi,Coastal Karnataka,13.340,74.740,3.700,9.500,-61.000,2025/oct 2025/daily dated cum 12.10.2025.xls,0.900,0.000,0.600,train
2025-10-12,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.100,5.200,-99.000,2025/oct 2025/daily dated cum 12.10.2025.xls,0.000,0.000,0.000,train
2025-10-13,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,23.700,11.000,116.000,2025/oct 2025/daily dated cum 13.10.2025.xls,0.000,0.000,4.200,train
2025-10-13,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,8.900,-100.000,2025/oct 2025/daily dated cum 13.10.2025.xls,0.000,0.100,0.600,train
2025-10-13,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,4.600,-100.000,2025/oct 2025/daily dated cum 13.10.2025.xls,0.000,0.000,0.000,train
2025-10-14,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.600,10.900,-95.000,2025/oct 2025/daily dated cum 14.10.2025.xls,4.900,7.000,9.000,train
2025-10-14,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,8.400,-100.000,2025/oct 2025/daily dated cum 14.10.2025.xls,1.000,12.200,4.200,train
2025-10-14,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,4.100,-100.000,2025/oct 2025/daily dated cum 14.10.2025.xls,1.200,7.300,1.800,train
2025-10-15,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,20.100,7.300,175.000,2025/oct 2025/daily dated cum 15.10.2025.xls,0.100,2.900,13.200,train
2025-10-15,493,Udupi,Coastal Karnataka,13.340,74.740,7.500,8.600,-13.000,2025/oct 2025/daily dated cum 15.10.2025.xls,1.700,1.500,10.800,train
2025-10-15,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,4.400,4.900,-11.000,2025/oct 2025/daily dated cum 15.10.2025.xls,13.400,7.700,8.400,train
2025-10-16,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,6.100,9.100,-33.000,2025/oct 2025/daily dated cum 16.10.2025.xls,2.200,15.700,20.400,train
2025-10-16,493,Udupi,Coastal Karnataka,13.340,74.740,2.900,6.800,-58.000,2025/oct 2025/daily dated cum 16.10.2025.xls,2.600,14.700,13.800,train
2025-10-16,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,3.800,4.600,-17.000,2025/oct 2025/daily dated cum 16.10.2025.xls,0.900,21.900,5.400,train
2025-10-17,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,39.300,7.200,445.000,2025/oct 2025/daily dated cum 17.10.2025.xls,3.200,4.300,10.200,train
2025-10-17,493,Udupi,Coastal Karnataka,13.340,74.740,34.200,4.700,628.000,2025/oct 2025/daily dated cum 17.10.2025.xls,2.800,5.600,5.400,train
2025-10-17,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,6.600,2.900,128.000,2025/oct 2025/daily dated cum 17.10.2025.xls,0.600,1.300,1.200,train
2025-10-18,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,14.400,5.500,161.000,2025/oct 2025/daily dated cum 18.10.2025.xls,7.700,12.100,27.600,train
2025-10-18,493,Udupi,Coastal Karnataka,13.340,74.740,0.100,4.200,-97.000,2025/oct 2025/daily dated cum 18.10.2025.xls,7.800,21.500,25.800,train
2025-10-18,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,3.300,-100.000,2025/oct 2025/daily dated cum 18.10.2025.xls,3.800,9.500,4.800,train
2025-10-19,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,33.300,5.000,566.000,2025/oct 2025/daily dated cum 19.10.2025.xls,2.300,19.900,16.800,train
2025-10-19,493,Udupi,Coastal Karnataka,13.340,74.740,45.700,3.500,1206.000,2025/oct 2025/daily dated cum 19.10.2025.xls,20.300,33.000,14.400,train
2025-10-19,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,7.600,3.600,110.000,2025/oct 2025/daily dated cum 19.10.2025.xls,6.500,23.300,4.800,train
2025-10-20,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,26.100,8.800,196.000,2025/oct 2025/daily dated cum 20.10.2025.xls,3.700,7.100,16.800,train
2025-10-20,493,Udupi,Coastal Karnataka,13.340,74.740,10.100,5.100,99.000,2025/oct 2025/daily dated cum 20.10.2025.xls,17.900,30.800,18.000,train
2025-10-20,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,16.900,4.200,302.000,2025/oct 2025/daily dated cum 20.10.2025.xls,28.800,7.000,6.600,train
2025-10-21,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,21.800,6.500,235.000,2025/oct 2025/daily dated cum 21.10.2025.xls,7.100,16.300,19.800,train
2025-10-21,493,Udupi,Coastal Karnataka,13.340,74.740,9.700,4.200,130.000,2025/oct 2025/daily dated cum 21.10.2025.xls,5.000,17.800,17.400,train
2025-10-21,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,6.000,3.300,82.000,2025/oct 2025/daily dated cum 21.10.2025.xls,9.700,2.100,6.000,train
2025-10-22,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,20.100,7.400,172.000,2025/oct 2025/daily dated cum 22.10.2025.xls,35.200,28.400,39.600,train
2025-10-22,493,Udupi,Coastal Karnataka,13.340,74.740,17.100,6.600,159.000,2025/oct 2025/daily dated cum 22.10.2025.xls,27.000,19.600,27.600,train
2025-10-22,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,13.600,3.800,257.000,2025/oct 2025/daily dated cum 22.10.2025.xls,21.800,10.400,9.600,train
2025-10-23,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,49.300,9.000,448.000,2025/oct 2025/daily dated cum 23.10.2025.xls,8.000,67.300,30.000,train
2025-10-23,493,Udupi,Coastal Karnataka,13.340,74.740,47.400,6.500,628.000,2025/oct 2025/daily dated cum 23.10.2025.xls,3.100,24.400,40.200,train
2025-10-23,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,3.100,4.700,-34.000,2025/oct 2025/daily dated cum 23.10.2025.xls,18.700,12.200,23.400,train
2025-10-24,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,12.100,6.600,83.000,2025/oct 2025/daily dated cum 24.10.2025.xls,20.500,28.300,30.600,train
2025-10-24,493,Udupi,Coastal Karnataka,13.340,74.740,5.800,5.200,12.000,2025/oct 2025/daily dated cum 24.10.2025.xls,15.800,25.800,31.800,train
2025-10-24,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,7.200,3.400,112.000,2025/oct 2025/daily dated cum 24.10.2025.xls,3.000,11.400,15.000,train
2025-10-25,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,8.600,5.500,56.000,2025/oct 2025/daily dated cum 25.10.2025.xls,6.100,17.200,10.800,train
2025-10-25,493,Udupi,Coastal Karnataka,13.340,74.740,1.900,5.500,-66.000,2025/oct 2025/daily dated cum 25.10.2025.xls,9.000,15.200,14.400,train
2025-10-25,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,33.100,3.600,820.000,2025/oct 2025/daily dated cum 25.10.2025.xls,2.500,6.400,7.800,train
2025-10-26,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,13.900,7.700,81.000,2025/oct 2025/daily dated cum 26.10.2025.xls,3.500,17.400,9.000,train
2025-10-26,493,Udupi,Coastal Karnataka,13.340,74.740,6.100,6.100,0.000,2025/oct 2025/daily dated cum 26.10.2025.xls,4.000,12.700,12.600,train
2025-10-26,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,27.300,4.500,508.000,2025/oct 2025/daily dated cum 26.10.2025.xls,0.100,4.700,9.600,train
2025-10-27,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,14.800,7.400,100.000,2025/oct 2025/daily dated cum 27.10.2025.xls,11.200,25.000,31.800,train
2025-10-27,493,Udupi,Coastal Karnataka,13.340,74.740,29.100,5.000,481.000,2025/oct 2025/daily dated cum 27.10.2025.xls,9.900,28.100,27.000,train
2025-10-27,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,35.200,3.500,907.000,2025/oct 2025/daily dated cum 27.10.2025.xls,4.600,10.400,13.800,train
2025-10-28,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,13.200,7.700,72.000,2025/oct 2025/daily dated cum 28.10.2025.xls,1.500,10.100,7.200,train
2025-10-28,493,Udupi,Coastal Karnataka,13.340,74.740,3.200,4.600,-30.000,2025/oct 2025/daily dated cum 28.10.2025.xls,3.300,6.000,6.000,train
2025-10-28,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,1.100,3.100,-64.000,2025/oct 2025/daily dated cum 28.10.2025.xls,2.100,1.000,3.000,train
2025-10-29,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,5.200,7.000,-25.000,2025/oct 2025/daily dated cum 29.10.2025.xls,3.500,2.800,10.200,train
2025-10-29,493,Udupi,Coastal Karnataka,13.340,74.740,1.300,5.600,-78.000,2025/oct 2025/daily dated cum 29.10.2025.xls,2.300,1.300,7.800,train
2025-10-29,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,1.800,2.800,-36.000,2025/oct 2025/daily dated cum 29.10.2025.xls,7.500,1.500,3.600,train
2025-10-30,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.300,5.300,-95.000,2025/oct 2025/daily dated cum 30.10.2025.xls,10.500,2.700,4.200,train
2025-10-30,493,Udupi,Coastal Karnataka,13.340,74.740,4.200,3.600,17.000,2025/oct 2025/daily dated cum 30.10.2025.xls,13.300,2.800,5.400,train
2025-10-30,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,16.500,2.900,467.000,2025/oct 2025/daily dated cum 30.10.2025.xls,2.300,1.400,4.200,train
2025-10-31,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.100,4.200,-98.000,2025/oct 2025/daily dated cum 31.10.2025.xls,1.300,2.300,2.400,train
2025-10-31,493,Udupi,Coastal Karnataka,13.340,74.740,5.300,3.500,50.000,2025/oct 2025/daily dated cum 31.10.2025.xls,1.800,3.100,4.800,train
2025-10-31,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,3.800,1.300,193.000,2025/oct 2025/daily dated cum 31.10.2025.xls,1.900,2.700,3.600,train
2025-11-01,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.600,6.200,-90.000,2025/NOV 2025/daily dated cum 01.11.2025.xls,1.700,1.000,1.200,train
2025-11-01,493,Udupi,Coastal Karnataka,13.340,74.740,0.400,2.300,-84.000,2025/NOV 2025/daily dated cum 01.11.2025.xls,1.200,0.200,1.800,train
2025-11-01,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,4.300,1.100,289.000,2025/NOV 2025/daily dated cum 01.11.2025.xls,0.000,1.600,2.400,train
2025-11-02,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,6.100,-100.000,2025/NOV 2025/daily dated cum 02.11.2025.xls,0.000,0.000,0.600,train
2025-11-02,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,3.500,-100.000,2025/NOV 2025/daily dated cum 02.11.2025.xls,0.000,1.000,1.200,train
2025-11-02,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.300,2.300,-87.000,2025/NOV 2025/daily dated cum 02.11.2025.xls,0.500,1.800,1.800,train
2025-11-03,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,5.300,-100.000,2025/NOV 2025/daily dated cum 03.11.2025.xls,0.300,0.000,0.000,train
2025-11-03,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,6.500,-100.000,2025/NOV 2025/daily dated cum 03.11.2025.xls,0.300,0.300,0.000,train
2025-11-03,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,2.400,-100.000,2025/NOV 2025/daily dated cum 03.11.2025.xls,0.200,0.000,0.600,train
2025-11-04,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.900,4.900,-81.000,2025/NOV 2025/daily dated cum 04.11.2025.xls,3.200,0.700,1.200,train
2025-11-04,493,Udupi,Coastal Karnataka,13.340,74.740,6.300,3.300,90.000,2025/NOV 2025/daily dated cum 04.11.2025.xls,3.100,1.400,3.000,train
2025-11-04,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,2.800,0.900,206.000,2025/NOV 2025/daily dated cum 04.11.2025.xls,0.000,1.200,2.400,train
2025-11-05,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,1.400,4.400,-68.000,2025/NOV 2025/daily dated cum 05.11.2025.xls,0.300,0.100,0.000,train
2025-11-05,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,2.800,-100.000,2025/NOV 2025/daily dated cum 05.11.2025.xls,0.300,0.000,0.000,train
2025-11-05,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.200,2.400,-90.000,2025/NOV 2025/daily dated cum 05.11.2025.xls,0.000,0.000,0.000,train
2025-11-06,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,7.300,-100.000,2025/NOV 2025/daily dated cum 06.11.2025.xls,0.000,0.000,0.000,train
2025-11-06,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,3.800,-100.000,2025/NOV 2025/daily dated cum 06.11.2025.xls,0.100,0.000,0.000,train
2025-11-06,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,1.600,-100.000,2025/NOV 2025/daily dated cum 06.11.2025.xls,0.000,0.000,0.000,train
2025-11-07,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,6.600,-100.000,2025/NOV 2025/daily dated cum 07.11.2025.xls,0.000,0.000,0.000,train
2025-11-07,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,5.000,-100.000,2025/NOV 2025/daily dated cum 07.11.2025.xls,0.000,0.000,0.000,train
2025-11-07,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,1.400,-100.000,2025/NOV 2025/daily dated cum 07.11.2025.xls,0.500,0.200,1.200,train
2025-11-08,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,5.100,-100.000,2025/NOV 2025/daily dated cum 08.11.2025.xls,4.600,1.600,1.800,train
2025-11-08,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,3.900,-100.000,2025/NOV 2025/daily dated cum 08.11.2025.xls,0.000,2.200,1.200,train
2025-11-08,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,2.900,2.000,43.000,2025/NOV 2025/daily dated cum 08.11.2025.xls,0.000,0.200,0.000,train
2025-11-09,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,10.000,3.300,204.000,2025/NOV 2025/daily dated cum 09.11.2025.xls,0.000,0.300,0.600,train
2025-11-09,493,Udupi,Coastal Karnataka,13.340,74.740,0.100,2.600,-98.000,2025/NOV 2025/daily dated cum 09.11.2025.xls,0.000,0.000,0.000,train
2025-11-09,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,2.200,-100.000,2025/NOV 2025/daily dated cum 09.11.2025.xls,0.000,0.000,0.000,train
2025-11-10,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,3.500,-100.000,2025/NOV 2025/daily dated cum 10.11.2025.xls,0.000,0.000,0.000,train
2025-11-10,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,2.400,-100.000,2025/NOV 2025/daily dated cum 10.11.2025.xls,0.000,0.000,0.000,train
2025-11-10,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,1.200,-100.000,2025/NOV 2025/daily dated cum 10.11.2025.xls,0.000,0.000,0.000,train
2025-11-11,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,2.900,-100.000,2025/NOV 2025/daily dated cum 11.11.2025.xls,0.000,0.000,0.000,train
2025-11-11,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,2.200,-100.000,2025/NOV 2025/daily dated cum 11.11.2025.xls,0.000,0.000,0.000,train
2025-11-11,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,0.900,-100.000,2025/NOV 2025/daily dated cum 11.11.2025.xls,0.000,0.000,0.000,train
2025-11-12,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,3.800,-100.000,2025/NOV 2025/daily dated cum 12.11.2025.xls,0.000,0.000,0.000,train
2025-11-12,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,2.300,-100.000,2025/NOV 2025/daily dated cum 12.11.2025.xls,0.000,0.000,0.000,train
2025-11-12,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,1.700,-100.000,2025/NOV 2025/daily dated cum 12.11.2025.xls,0.000,0.000,0.000,train
2025-11-13,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,1.800,-100.000,2025/NOV 2025/daily dated cum 13.11.2025.xls,1.900,2.800,1.800,train
2025-11-13,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,1.500,-100.000,2025/NOV 2025/daily dated cum 13.11.2025.xls,4.000,4.500,0.600,train
2025-11-13,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,1.300,-100.000,2025/NOV 2025/daily dated cum 13.11.2025.xls,0.000,0.000,0.000,train
2025-11-14,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,5.800,3.500,65.000,2025/NOV 2025/daily dated cum 14.11.2025.xls,1.800,0.800,1.200,train
2025-11-14,493,Udupi,Coastal Karnataka,13.340,74.740,0.700,2.000,-65.000,2025/NOV 2025/daily dated cum 14.11.2025.xls,0.200,0.500,0.000,train
2025-11-14,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,1.000,-100.000,2025/NOV 2025/daily dated cum 14.11.2025.xls,0.000,0.000,0.000,train
2025-11-15,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,2.900,-100.000,2025/NOV 2025/daily dated cum 15.11.2025.xls,0.000,7.000,0.600,train
2025-11-15,493,Udupi,Coastal Karnataka,13.340,74.740,4.900,2.100,132.000,2025/NOV 2025/daily dated cum 15.11.2025.xls,0.000,0.100,0.000,train
2025-11-15,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,1.900,-100.000,2025/NOV 2025/daily dated cum 15.11.2025.xls,0.000,0.000,0.000,train
2025-11-16,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,5.900,-100.000,2025/NOV 2025/daily dated cum 16.11.2025.xls,0.000,0.000,0.000,train
2025-11-16,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,4.000,-100.000,2025/NOV 2025/daily dated cum 16.11.2025.xls,0.000,0.000,0.000,train
2025-11-16,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,2.300,-100.000,2025/NOV 2025/daily dated cum 16.11.2025.xls,0.000,0.000,0.000,train
2025-11-17,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,4.400,-100.000,2025/NOV 2025/daily dated cum 17.11.2025.xls,0.000,0.000,0.000,train
2025-11-17,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,6.200,-100.000,2025/NOV 2025/daily dated cum 17.11.2025.xls,0.000,0.000,0.000,train
2025-11-17,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,3.100,-100.000,2025/NOV 2025/daily dated cum 17.11.2025.xls,0.000,0.000,0.000,train
2025-11-18,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,4.900,-100.000,2025/NOV 2025/daily dated cum 18.11.2025.xls,1.500,0.600,1.200,train
2025-11-18,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,2.600,-100.000,2025/NOV 2025/daily dated cum 18.11.2025.xls,0.100,0.000,0.000,train
2025-11-18,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,2.300,-100.000,2025/NOV 2025/daily dated cum 18.11.2025.xls,0.000,0.000,0.000,train
2025-11-19,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,2.200,2.200,2.000,2025/NOV 2025/daily dated cum 19.11.2025.xls,2.300,0.300,2.400,train
2025-11-19,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,2.100,-100.000,2025/NOV 2025/daily dated cum 19.11.2025.xls,0.000,0.100,0.600,train
2025-11-19,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,1.000,-100.000,2025/NOV 2025/daily dated cum 19.11.2025.xls,0.000,0.700,0.000,train
2025-11-20,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,2.200,-100.000,2025/NOV 2025/daily dated cum 20.11.2025.xls,0.800,1.200,0.600,train
2025-11-20,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,1.400,-100.000,2025/NOV 2025/daily dated cum 20.11.2025.xls,0.200,0.500,0.000,train
2025-11-20,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,0.700,-100.000,2025/NOV 2025/daily dated cum 20.11.2025.xls,0.000,0.000,0.000,train
2025-11-21,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,2.500,-100.000,2025/NOV 2025/daily dated cum 21.11.2025.xls,0.000,0.600,0.600,train
2025-11-21,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,3.200,-100.000,2025/NOV 2025/daily dated cum 21.11.2025.xls,0.000,1.700,0.000,train
2025-11-21,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,0.800,-100.000,2025/NOV 2025/daily dated cum 21.11.2025.xls,0.000,0.100,0.000,train
